Country,DateTime,CarbonIntensity,UpdatedAt,CreatedAt,EmissionFactorType,IsEstimated,EstimationMethod
AT,2023-06-19T14:00:00.000Z,123,2023-06-20T13:00:18.822Z,2023-06-16T14:57:25.311Z,lifecycle,False,
AT,2023-06-19T15:00:00.000Z,123,2023-06-20T13:00:35.129Z,2023-06-16T15:56:16.657Z,lifecycle,False,
AT,2023-06-19T16:00:00.000Z,114,2023-06-20T13:00:18.822Z,2023-06-16T16:53:59.551Z,lifecycle,False,
AT,2023-06-19T17:00:00.000Z,122,2023-06-20T13:00:35.129Z,2023-06-16T17:55:39.976Z,lifecycle,False,
AT,2023-06-19T18:00:00.000Z,118,2023-06-20T13:00:18.822Z,2023-06-16T18:53:16.775Z,lifecycle,False,
AT,2023-06-19T19:00:00.000Z,117,2023-06-20T13:00:18.822Z,2023-06-16T19:58:20.546Z,lifecycle,False,
AT,2023-06-19T20:00:00.000Z,107,2023-06-20T13:00:35.129Z,2023-06-16T20:57:53.859Z,lifecycle,False,
AT,2023-06-19T21:00:00.000Z,102,2023-06-20T13:00:35.129Z,2023-06-16T21:53:32.921Z,lifecycle,False,
AT,2023-06-19T22:00:00.000Z,102,2023-06-20T13:00:35.129Z,2023-06-16T22:53:48.240Z,lifecycle,False,
AT,2023-06-19T23:00:00.000Z,104,2023-06-20T11:53:09.531Z,2023-06-16T23:57:18.618Z,lifecycle,False,
AT,2023-06-20T00:00:00.000Z,110,2023-06-20T11:52:54.295Z,2023-06-17T00:53:21.227Z,lifecycle,False,
AT,2023-06-20T01:00:00.000Z,103,2023-06-20T11:53:09.531Z,2023-06-17T02:01:51.034Z,lifecycle,False,
AT,2023-06-20T02:00:00.000Z,105,2023-06-20T11:52:54.295Z,2023-06-17T02:54:19.954Z,lifecycle,False,
AT,2023-06-20T03:00:00.000Z,103,2023-06-20T12:59:59.535Z,2023-06-17T03:55:35.374Z,lifecycle,False,
AT,2023-06-20T04:00:00.000Z,86,2023-06-20T13:00:18.822Z,2023-06-17T04:52:43.569Z,lifecycle,False,
AT,2023-06-20T05:00:00.000Z,105,2023-06-20T13:00:35.129Z,2023-06-17T05:58:04.608Z,lifecycle,False,
AT,2023-06-20T06:00:00.000Z,102,2023-06-20T13:00:18.822Z,2023-06-17T06:57:26.142Z,lifecycle,False,
AT,2023-06-20T07:00:00.000Z,82,2023-06-20T13:00:39.941Z,2023-06-17T07:54:49.029Z,lifecycle,False,
AT,2023-06-20T08:00:00.000Z,68,2023-06-20T13:00:39.941Z,2023-06-17T09:03:33.915Z,lifecycle,False,
